personId,age,rating
COIMBRES010DEL03 ,24,4.9
JAPRES20DEL01 ,25,4.7
SURRES010DEL02 ,36,4.5
MYSRES09DEL02 ,37,4.6
VADRES15DEL03 ,22,4.7
RANCHIRES09DEL03 ,37,4.9
CHENRES17DEL01 ,23,4.7
BANGRES04DEL01 ,29,4.9
PUNERES010DEL03 ,31,4.7
VADRES05DEL02 ,39,4.3
JAPRES17DEL03 ,22,4.6
JAPRES13DEL03 ,31,4.8
RANCHIRES01DEL02 ,24,4.7
BANGRES05DEL02 ,30,4.9
VADRES14DEL03 ,23,4.1
BANGRES04DEL01 ,36,5
BANGRES08DEL03 ,32,4.8
MYSRES20DEL01 ,30,4.3
PUNERES010DEL02 ,24,4.6
MYSRES14DEL01 ,25,4.7
HYDRES14DEL02 ,26,4.7
INDORES06DEL03 ,35,4.8
MYSRES16DEL01 ,28,4.8
LUDHRES19DEL01 ,39,4.1
VADRES06DEL01 ,25,4.6
MUMRES04DEL03 ,27,4.8
COIMBRES03DEL01 ,22,4.7
PUNERES11DEL01 ,25,4.9
AURGRES06DEL03 ,29,4.4
VADRES11DEL02 ,25,4.8
VADRES17DEL02 ,32,4.2
JAPRES01DEL01 ,32,3.7
COIMBRES03DEL03 ,29,4.9
AGRRES02DEL01 ,29,4.6
HYDRES010DEL02 ,38,4.7
ALHRES010DEL01 ,23,4.7
SURRES17DEL01 ,26,4.5
BANGRES08DEL03 ,33,4.8
DEHRES17DEL02 ,31,4.7
SURRES18DEL02 ,37,4.4
JAPRES06DEL02 ,37,4.5
VADRES06DEL02 ,24,3.7
HYDRES01DEL03 ,33,4
PUNERES04DEL02 ,32,4.6
BANGRES08DEL02 ,36,4.8
JAPRES12DEL02 ,31,4.1
CHENRES14DEL02 ,26,4.9
VADRES14DEL03 ,28,4.8
RANCHIRES06DEL02 ,39,4.7
LUDHRES20DEL02 ,22,4.7
MUMRES11DEL01 ,34,5
RANCHIRES18DEL01 ,36,4.9
RANCHIRES06DEL02 ,27,4.6
AURGRES15DEL01 ,32,3.7
MUMRES11DEL03 ,39,4.8
MUMRES19DEL03 ,25,4.9
RANCHIRES03DEL02 ,31,4.9
RANCHIRES02DEL01 ,25,4.7
MUMRES09DEL03 ,24,4.7
MUMRES13DEL01 ,33,4.7
PUNERES14DEL01 ,30,4.6
JAPRES04DEL01 ,22,4.6
VADRES08DEL02 ,38,4.9
JAPRES19DEL01 ,30,4.6
PUNERES12DEL01 ,22,4.6
AURGRES20DEL03 ,25,4.9
VADRES02DEL02 ,36,4.8
BANGRES20DEL01 ,21,4.8
INDORES20DEL02 ,26,5
CHENRES08DEL01 ,22,4.6
PUNERES08DEL01 ,21,5
MYSRES17DEL03 ,21,4.9
COIMBRES05DEL03 ,22,4.8
AURGRES07DEL03 ,33,5
MYSRES11DEL03 ,30,4.5
CHENRES010DEL01 ,35,4.6
PUNERES07DEL03 ,20,5
BANGRES17DEL03 ,37,3.9
PUNERES18DEL03 ,37,4.6
JAPRES06DEL02 ,24,4.8
MYSRES01DEL03 ,31,5
SURRES010DEL03 ,30,4.7
RANCHIRES11DEL02 ,31,5
VADRES05DEL01 ,27,4.8
MUMRES05DEL01 ,28,4.6
COIMBRES12DEL02 ,27,4.4
PUNERES06DEL03 ,33,4.6
MYSRES06DEL01 ,23,4.7
GOARES13DEL02 ,27,4.8
ALHRES02DEL02 ,25,4.7
INDORES17DEL01 ,29,4.8
SURRES05DEL01 ,29,4.8
VADRES13DEL01 ,32,4.3
CHENRES14DEL02 ,34,4.2
